Player,Games Played,Total Points,Score/Game,Total Goals,Goals/Game,Total Assists,Assists/Game,Total Saves,Saves/Game,Total Shots,Shots/Game,Shot Percentage,Goal Participation,Octane Rating
Ango Gobloggian,6,1968,328.00,3,0.50,1,0.17,9,1.50,9,1.50,33.33%,80.00%,0.9355
Avj,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Ayudah,8,561,70.13,0,0.00,0,0.00,4,0.50,2,0.25,0.00%,0.00%,0.2668
Banditopistoleto,3,1073,357.67,3,1.00,4,1.33,3,1.00,9,3.00,33.33%,53.85%,1.1982
Baylers_,8,2168,271.00,5,0.63,0,0.00,7,0.88,17,2.13,29.41%,62.50%,0.8379
Bisbeaux,8,3176,397.00,7,0.88,5,0.63,10,1.25,27,3.38,25.93%,52.17%,1.1475
Burwash,8,2495,311.88,5,0.63,4,0.50,5,0.63,20,2.50,25.00%,47.37%,0.9109
Canti,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Captain Jiffy,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Flask,5,1606,321.20,1,0.20,3,0.60,6,1.20,13,2.60,7.69%,50.00%,0.8277
Freakyfreeze,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
funksider,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Granwe,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Grave,8,3557,444.63,8,1.00,11,1.38,15,1.88,19,2.38,42.11%,73.08%,1.4945
Henrizzle,5,2077,415.40,2,0.40,1,0.20,11,2.20,12,2.40,16.67%,37.50%,0.9104
Herostratodon,8,2096,262.00,3,0.38,8,1.00,3,0.38,19,2.38,15.79%,47.83%,0.9044
Huskies,3,780,260.00,0,0.00,1,0.33,5,1.67,2,0.67,0.00%,25.00%,0.5344
inevitably,6,938,156.33,1,0.17,0,0.00,6,1.00,4,0.67,25.00%,20.00%,0.5033
Inferno,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Jayberks <3,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
jhag56,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Juke,7,3785,540.71,17,2.43,3,0.43,4,0.57,29,4.14,58.62%,83.33%,1.5251
K.Doughboy,3,709,236.33,2,0.67,1,0.33,2,0.67,5,1.67,40.00%,75.00%,0.8254
Keel,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Kolbyb121,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Krumpetslol,6,1323,220.50,1,0.17,2,0.33,4,0.67,8,1.33,12.50%,60.00%,0.6518
Lub,8,3122,390.25,10,1.25,4,0.50,9,1.13,31,3.88,32.26%,73.68%,1.2586
Mick,8,3306,413.25,9,1.13,9,1.13,8,1.00,32,4.00,28.13%,60.00%,1.3417
Micro,8,1774,221.75,4,0.50,6,0.75,6,0.75,8,1.00,50.00%,52.63%,0.9565
Mikeee,7,1912,273.14,3,0.43,4,0.57,7,1.00,13,1.86,23.08%,29.17%,0.8231
Mukky,8,3999,499.88,13,1.63,5,0.63,9,1.13,30,3.75,43.33%,78.26%,1.4317
Munk,8,2804,350.50,9,1.13,5,0.63,8,1.00,22,2.75,40.91%,53.85%,1.1640
Nelly,5,2078,415.60,6,1.20,4,0.80,6,1.20,12,2.40,50.00%,76.92%,1.2721
Nirosat,3,1232,410.67,4,1.33,4,1.33,2,0.67,10,3.33,40.00%,66.67%,1.3017
nosealwaysknows,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Not Jace.,3,1517,505.67,5,1.67,3,1.00,4,1.33,13,4.33,38.46%,66.67%,1.4364
Ox,8,3268,408.50,9,1.13,4,0.50,14,1.75,20,2.50,45.00%,50.00%,1.2382
Physhhy,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Piglet9303,5,1497,299.40,3,0.60,4,0.80,6,1.20,13,2.60,23.08%,53.85%,0.9943
Qrouton,3,1522,507.33,5,1.67,3,1.00,4,1.33,12,4.00,41.67%,61.54%,1.4188
Raithe,5,2056,411.20,5,1.00,1,0.20,8,1.60,13,2.60,38.46%,75.00%,1.1081
Ranger,9,3852,428.00,8,0.89,3,0.33,17,1.89,22,2.44,36.36%,61.11%,1.1987
Red Baron,7,1772,253.14,4,0.57,7,1.00,2,0.29,12,1.71,33.33%,45.83%,0.9237
rex.,3,891,297.00,3,1.00,0,0.00,1,0.33,9,3.00,33.33%,25.00%,0.7077
rice cooka,3,1008,336.00,5,1.67,0,0.00,2,0.67,6,2.00,83.33%,38.46%,1.0257
Ripshark,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Rydog,5,1814,362.80,4,0.80,2,0.40,7,1.40,16,3.20,25.00%,46.15%,0.9977
S,3,654,218.00,1,0.33,0,0.00,3,1.00,4,1.33,25.00%,25.00%,0.5366
Saucy,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Sheptastiic,8,2557,319.63,5,0.63,3,0.38,12,1.50,18,2.25,27.78%,44.44%,0.9789
Sir Fredalot,8,2149,268.63,8,1.00,3,0.38,3,0.38,15,1.88,53.33%,36.67%,0.9371
Sir Magic,9,1718,190.89,4,0.44,5,0.56,4,0.44,7,0.78,57.14%,50.00%,0.8819
SmashleyFC,3,736,245.33,2,0.67,1,0.33,2,0.67,6,2.00,33.33%,75.00%,0.8223
Spanky,3,798,266.00,1,0.33,0,0.00,4,1.33,3,1.00,33.33%,25.00%,0.6070
TheGreatKaBryan,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Toad Death,3,1089,363.00,2,0.67,0,0.00,7,2.33,7,2.33,28.57%,50.00%,0.9277
Tysaur,8,3570,446.25,13,1.63,6,0.75,5,0.63,35,4.38,37.14%,63.33%,1.3570
Wildwolf,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00%,0.00%,0.0000
Wreck,8,3351,418.88,3,0.38,2,0.25,16,2.00,15,1.88,20.00%,62.50%,1.0019
